id,section,historical_item,decision,canonical_resolution,tasks,cases,target_version,reason
H224,18 Backup,Logs,MANTER,Backup/Storage/Updater protocols,T14|T15,T14-C01|T14-C03|T14-C07|T14-C13|T15-C07,V1,
H225,18 Backup,Manifest/hash,MANTER,Backup/Storage/Updater protocols,T14|T15,T14-C01|T14-C03|T14-C07|T14-C13|T15-C07,V1,
H226,18 Backup,Restore painel,MANTER,Backup/Storage/Updater protocols,T14|T15,T14-C01|T14-C03|T14-C07|T14-C13|T15-C07,V1,
H227,25 Decisões abertas,Uma/várias máquinas,RESOLVIDO,Uma writer participante; até três estações; limite explícito de clones offline,T14|T18,T14-C05|T18-C09,V1,G0 1.1 fecha decisão.
H228,25 Decisões abertas,Offline multiwriter,RESOLVIDO,Multiwriter/merge offline fora da V1,T17|T18,T17-C04|T18-C09,V1,G0 1.1 fecha decisão.
H229,25 Decisões abertas,Transferência placa,RESOLVIDO,Transferência de propriedade com histórico,T06|T11,T06-C04|T11-C09,V1,G0 1.1 fecha decisão.
H230,25 Decisões abertas,Admins V1,RESOLVIDO,Exatamente três slots individualizados,T04,T04-C01|T04-C02,V1,G0 1.1 fecha decisão.
H231,25 Decisões abertas,Sessão,RESOLVIDO,60min idle/12h absolute; heartbeat não renova,T04,T04-C03|T04-C09,V1,G0 1.1 fecha decisão.
H232,25 Decisões abertas,Resultado,RESOLVIDO,Resultado caixa e competência por eventos,T11,T11-C01|T11-C09,V1,G0 1.1 fecha decisão.
H233,25 Decisões abertas,Originais fotos,RESOLVIDO,Original opt-in cifrado; operacional sem metadados,T10,T10-C02|T10-C03|T10-C07,V1,G0 1.1 fecha decisão.
H234,25 Decisões abertas,Backup retenção,RESOLVIDO,7 diários+4 semanais+3 mensais; último VALID preservado,T14,T14-C07,V1,G0 1.1 fecha decisão.
H235,25 Decisões abertas,Sincronização,RESOLVIDO,Interfaces desativadas; nenhuma sync real V1,T17,T17-C01|T17-C02,V1,G0 1.1 fecha decisão.
H236,25 Decisões abertas,Alertas,RESOLVIDO,Alertas de vencimento/inadimplência na tela,T11,T11-C02,V1,G0 1.1 fecha decisão.
H237,25 Decisões abertas,Nome sistema,RESOLVIDO,Identidade técnica UStracker; branding configurável,T01|T13,T01-C06|T13-C01,V1,G0 1.1 fecha decisão.
H238,25 Decisões abertas,Windows,RESOLVIDO,Windows10 formal; Windows11 relatório adicional,T01|T18,T01-C04|T01-C05|T18-C06,V1,G0 1.1 fecha decisão.
H239,25 Decisões abertas,Código-fonte entrega,RESOLVIDO,Source.zip/snapshot ao proprietário,T18,T18-C08,V1,G0 1.1 fecha decisão.
H240,25 Decisões abertas,Exportações,RESOLVIDO,CSV/XLSX; PDF oficial futuro,T11,T11-C04|T11-C05,V1,G0 1.1 fecha decisão.
H241,25 Decisões abertas,Senha/recovery,RESOLVIDO,Troca individual/reset enrollment/recovery isolado,T04|T14,T04-C05|T04-C06|T14-C04|T14-C10,V1,G0 1.1 fecha decisão.
H242,24 LGPD,Quem visualiza/edita,SUBSTITUIR,"Software fornece ADMIN-only, anonimização, retenção configurável e logs; política organizacional é PRE_PRODUCTION_CONFIGURATION, não inventada pelo código",T13|T18,T13-C05|T13-C08|T18-C08,V1,Não atribuir regra legal universal ao software.
H243,24 LGPD,Retenção dados,SUBSTITUIR,"Software fornece ADMIN-only, anonimização, retenção configurável e logs; política organizacional é PRE_PRODUCTION_CONFIGURATION, não inventada pelo código",T13|T18,T13-C05|T13-C08|T18-C08,V1,Não atribuir regra legal universal ao software.
H244,24 LGPD,Exclusão/anonimização,SUBSTITUIR,"Software fornece ADMIN-only, anonimização, retenção configurável e logs; política organizacional é PRE_PRODUCTION_CONFIGURATION, não inventada pelo código",T13|T18,T13-C05|T13-C08|T18-C08,V1,Não atribuir regra legal universal ao software.
H245,24 LGPD,Backup após exclusão,SUBSTITUIR,"Software fornece ADMIN-only, anonimização, retenção configurável e logs; política organizacional é PRE_PRODUCTION_CONFIGURATION, não inventada pelo código",T13|T18,T13-C05|T13-C08|T18-C08,V1,Não atribuir regra legal universal ao software.
H246,24 LGPD,Consentimento fotos,SUBSTITUIR,"Software fornece ADMIN-only, anonimização, retenção configurável e logs; política organizacional é PRE_PRODUCTION_CONFIGURATION, não inventada pelo código",T13|T18,T13-C05|T13-C08|T18-C08,V1,Não atribuir regra legal universal ao software.
H247,24 LGPD,Prazo auditoria,SUBSTITUIR,"Software fornece ADMIN-only, anonimização, retenção configurável e logs; política organizacional é PRE_PRODUCTION_CONFIGURATION, não inventada pelo código",T13|T18,T13-C05|T13-C08|T18-C08,V1,Não atribuir regra legal universal ao software.
H248,24 LGPD,Responsável dados,SUBSTITUIR,"Software fornece ADMIN-only, anonimização, retenção configurável e logs; política organizacional é PRE_PRODUCTION_CONFIGURATION, não inventada pelo código",T13|T18,T13-C05|T13-C08|T18-C08,V1,Não atribuir regra legal universal ao software.
H249,24 LGPD,Incidente vazamento,SUBSTITUIR,"Software fornece ADMIN-only, anonimização, retenção configurável e logs; política organizacional é PRE_PRODUCTION_CONFIGURATION, não inventada pelo código",T13|T18,T13-C05|T13-C08|T18-C08,V1,Não atribuir regra legal universal ao software.
H250,20 Volume,Baseline quantitativo,RESOLVIDO,Perfil sintético P1 D22 para homologação; limites comerciais não são hardcoded,T11,T11-C08,V1,Permite teste sem dados reais.
